order_id,date,product,price,qty,city,total
ORD0001,2025-01-01,鼠标,129,3,上海,387
ORD0002,2025-02-24,笔记本,6999,1,杭州,6999
ORD0003,2025-05-14,手机,3999,1,北京,3999
ORD0004,2025-02-08,手机,3999,5,杭州,19995
ORD0005,2025-05-07,手机,3999,5,深圳,19995
ORD0006,2025-04-19,笔记本,6999,3,北京,20997
ORD0007,2025-06-14,笔记本,6999,3,广州,20997
ORD0008,2025-02-25,笔记本,6999,3,北京,20997
ORD0009,2025-04-04,手机,3999,3,广州,11997
ORD0010,2025-03-26,键盘,499,1,深圳,499
ORD0011,2025-01-13,键盘,499,1,杭州,499
ORD0012,2025-06-20,耳机,299,3,杭州,897
ORD0013,2025-06-03,笔记本,6999,1,上海,6999
ORD0014,2025-01-28,耳机,299,2,北京,598
ORD0015,2025-03-15,平板,2999,3,上海,8997
ORD0016,2025-03-07,耳机,299,3,北京,897
ORD0017,2025-06-06,键盘,499,5,上海,2495
ORD0018,2025-04-13,笔记本,6999,3,杭州,20997
ORD0019,2025-06-11,笔记本,6999,1,上海,6999
ORD0020,2025-03-13,手机,3999,3,北京,11997
ORD0021,2025-05-23,笔记本,6999,3,上海,20997
ORD0022,2025-04-13,鼠标,129,4,上海,516
ORD0023,2025-02-08,耳机,299,5,杭州,1495
ORD0024,2025-06-19,耳机,299,4,杭州,1196
ORD0025,2025-03-08,平板,2999,2,杭州,5998
ORD0026,2025-01-25,平板,2999,1,北京,2999
ORD0027,2025-06-06,笔记本,6999,4,杭州,27996
ORD0028,2025-04-13,手机,3999,5,深圳,19995
ORD0029,2025-03-18,键盘,499,1,北京,499
ORD0030,2025-05-25,鼠标,129,3,广州,387
ORD0031,2025-03-14,手机,3999,2,深圳,7998
ORD0032,2025-06-24,手机,3999,3,杭州,11997
ORD0033,2025-05-04,笔记本,6999,3,杭州,20997
ORD0034,2025-02-05,键盘,499,3,上海,1497
ORD0035,2025-05-01,键盘,499,5,广州,2495
ORD0036,2025-01-04,平板,2999,3,广州,8997
ORD0037,2025-01-08,笔记本,6999,5,北京,34995
ORD0038,2025-06-16,手机,3999,1,杭州,3999
ORD0039,2025-02-22,笔记本,6999,4,杭州,27996
ORD0040,2025-03-17,笔记本,6999,5,深圳,34995
ORD0041,2025-05-25,笔记本,6999,2,广州,13998
ORD0042,2025-06-21,平板,2999,3,深圳,8997
ORD0043,2025-04-04,键盘,499,2,上海,998
ORD0044,2025-03-01,手机,3999,5,杭州,19995
ORD0045,2025-05-08,笔记本,6999,1,北京,6999
ORD0046,2025-06-02,鼠标,129,2,北京,258
ORD0047,2025-03-03,手机,3999,5,上海,19995
ORD0048,2025-06-16,耳机,299,2,杭州,598
ORD0049,2025-06-19,笔记本,6999,5,深圳,34995
ORD0050,2025-04-26,笔记本,6999,4,上海,27996
ORD0051,2025-01-22,手机,3999,4,广州,15996
ORD0052,2025-04-15,平板,2999,1,北京,2999
ORD0053,2025-04-24,手机,3999,3,北京,11997
ORD0054,2025-02-07,笔记本,6999,5,深圳,34995
ORD0055,2025-04-06,笔记本,6999,3,深圳,20997
ORD0056,2025-01-15,笔记本,6999,5,北京,34995
ORD0057,2025-06-18,手机,3999,1,北京,3999
ORD0058,2025-02-14,笔记本,6999,4,深圳,27996
ORD0059,2025-04-02,笔记本,6999,2,深圳,13998
ORD0060,2025-04-09,手机,3999,4,广州,15996
ORD0061,2025-06-24,平板,2999,5,深圳,14995
ORD0062,2025-02-10,笔记本,6999,2,北京,13998
ORD0063,2025-06-18,键盘,499,1,广州,499
ORD0064,2025-01-19,手机,3999,4,杭州,15996
ORD0065,2025-02-02,键盘,499,5,北京,2495
ORD0066,2025-01-20,笔记本,6999,1,上海,6999
ORD0067,2025-01-19,平板,2999,2,杭州,5998
ORD0068,2025-01-20,键盘,499,1,深圳,499
ORD0069,2025-05-19,鼠标,129,5,广州,645
ORD0070,2025-02-22,耳机,299,3,上海,897
ORD0071,2025-04-05,耳机,299,3,深圳,897
ORD0072,2025-01-01,耳机,299,4,杭州,1196
ORD0073,2025-01-03,键盘,499,5,上海,2495
ORD0074,2025-03-05,键盘,499,3,北京,1497
ORD0075,2025-03-10,笔记本,6999,2,深圳,13998
ORD0076,2025-06-10,键盘,499,5,杭州,2495
ORD0077,2025-06-27,手机,3999,5,广州,19995
ORD0078,2025-01-05,鼠标,129,3,北京,387
ORD0079,2025-06-18,手机,3999,2,广州,7998
ORD0080,2025-05-07,耳机,299,3,上海,897
ORD0081,2025-06-28,鼠标,129,3,杭州,387
ORD0082,2025-03-28,平板,2999,1,北京,2999
ORD0083,2025-04-27,鼠标,129,3,北京,387
ORD0084,2025-03-25,手机,3999,2,广州,7998
ORD0085,2025-06-15,笔记本,6999,5,深圳,34995
ORD0086,2025-01-04,键盘,499,1,上海,499
ORD0087,2025-01-27,键盘,499,3,杭州,1497
ORD0088,2025-02-14,键盘,499,2,北京,998
ORD0089,2025-03-26,耳机,299,1,广州,299
ORD0090,2025-06-08,笔记本,6999,1,广州,6999
ORD0091,2025-04-20,键盘,499,2,上海,998
ORD0092,2025-02-14,笔记本,6999,1,上海,6999
ORD0093,2025-03-26,鼠标,129,4,上海,516
ORD0094,2025-02-26,耳机,299,1,深圳,299
ORD0095,2025-04-08,手机,3999,2,深圳,7998
ORD0096,2025-03-27,耳机,299,2,上海,598
ORD0097,2025-06-07,手机,3999,4,广州,15996
ORD0098,2025-01-25,耳机,299,3,广州,897
ORD0099,2025-05-13,鼠标,129,5,广州,645
ORD0100,2025-01-09,手机,3999,2,杭州,7998
ORD0101,2025-01-04,耳机,299,5,深圳,1495
ORD0102,2025-06-26,耳机,299,3,深圳,897
ORD0103,2025-05-04,键盘,499,4,杭州,1996
ORD0104,2025-03-02,笔记本,6999,4,北京,27996
ORD0105,2025-05-22,键盘,499,2,广州,998
ORD0106,2025-01-22,平板,2999,3,杭州,8997
ORD0107,2025-06-28,耳机,299,1,广州,299
ORD0108,2025-03-22,键盘,499,4,广州,1996
ORD0109,2025-06-10,平板,2999,5,上海,14995
ORD0110,2025-04-22,笔记本,6999,4,上海,27996
ORD0111,2025-05-10,键盘,499,4,杭州,1996
ORD0112,2025-03-10,手机,3999,2,深圳,7998
ORD0113,2025-05-21,键盘,499,3,深圳,1497
ORD0114,2025-04-22,平板,2999,2,杭州,5998
ORD0115,2025-06-06,平板,2999,1,广州,2999
ORD0116,2025-06-21,键盘,499,5,广州,2495
ORD0117,2025-02-22,手机,3999,3,上海,11997
ORD0118,2025-02-01,笔记本,6999,1,上海,6999
ORD0119,2025-05-28,平板,2999,1,深圳,2999
ORD0120,2025-06-19,平板,2999,2,深圳,5998
ORD0121,2025-04-08,平板,2999,2,北京,5998
ORD0122,2025-04-08,手机,3999,2,杭州,7998
ORD0123,2025-01-18,平板,2999,2,北京,5998
ORD0124,2025-02-26,平板,2999,4,杭州,11996
ORD0125,2025-05-11,键盘,499,4,杭州,1996
ORD0126,2025-05-14,鼠标,129,5,深圳,645
ORD0127,2025-06-28,笔记本,6999,4,深圳,27996
ORD0128,2025-02-27,耳机,299,3,杭州,897
ORD0129,2025-06-08,平板,2999,3,深圳,8997
ORD0130,2025-06-10,手机,3999,2,广州,7998
ORD0131,2025-03-18,耳机,299,1,上海,299
ORD0132,2025-02-13,笔记本,6999,2,上海,13998
ORD0133,2025-04-14,手机,3999,3,杭州,11997
ORD0134,2025-04-02,平板,2999,2,深圳,5998
ORD0135,2025-05-23,平板,2999,1,杭州,2999
ORD0136,2025-04-01,平板,2999,3,广州,8997
